Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Class,org.junit.jupiter.api.AssertionFailureBuilder,31,1,1,87,0,2,17,,98
Public Class,org.junit.jupiter.api.Assertions,292,1,1,0,1,22,292,,1024
Public Class,org.junit.jupiter.api.Assumptions,26,1,1,0,1,3,19,,79
Public Class,org.junit.jupiter.api.DynamicContainer,5,1,2,60,0,1,5,,21
Public Class,org.junit.jupiter.api.DynamicTest,10,1,2,75,0,3,8,,45
Public Class,org.junit.jupiter.api.condition.DisabledIfConditionTests,5,1,2,0,0,4,5,,58
Public Class,org.junit.jupiter.api.condition.DisabledIfIntegrationTests,11,1,1,0,0,5,11,,57
Public Class,org.junit.jupiter.api.condition.EnabledIfConditionTests,4,1,2,0,0,4,4,,58
Public Class,org.junit.jupiter.api.condition.EnabledIfIntegrationTests,11,1,1,0,0,5,11,,57
Public Class,org.junit.jupiter.api.condition.JRETests,6,1,1,0,0,3,6,,32
Public Class,org.junit.jupiter.api.condition.StaticConditionMethods,2,1,1,0,0,0,2,,8
Public Class,org.junit.jupiter.api.extension.CloseableResourceIntegrationTests,2,1,2,0,0,10,2,,48
Public Class,org.junit.jupiter.api.extension.ConditionEvaluationResult,8,1,1,57,0,2,7,,34
Public Class,org.junit.jupiter.api.extension.ExecutableInvokerIntegrationTests,2,1,2,0,0,9,2,,48
Public Class,org.junit.jupiter.api.extension.ExtensionConfigurationException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.api.extension.ExtensionContextException,1,1,3,0,0,0,1,,6
Public Class,org.junit.jupiter.api.extension.ExtensionContextParameterResolver,2,1,1,0,0,3,2,,12
Public Class,org.junit.jupiter.api.extension.KitchenSinkExtension,24,1,1,0,0,4,24,,98
Public Class,org.junit.jupiter.api.extension.ParameterResolutionException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.api.extension.TestInstantiationException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.api.parallel.Resources,1,1,1,0,0,0,1,,13
Public Class,org.junit.jupiter.engine.Constants,1,1,1,0,0,11,1,,66
Public Class,org.junit.jupiter.engine.JupiterTestEngine,9,1,2,0,0,16,8,,44
Public Class,org.junit.jupiter.engine.bridge.ChildWithBridgeMethods,3,1,2,0,0,4,3,,14
Public Class,org.junit.jupiter.engine.config.CachingJupiterConfiguration,23,1,1,50,0,9,13,,68
Public Class,org.junit.jupiter.engine.config.DefaultJupiterConfiguration,14,1,1,0,0,13,13,,72
Public Class,org.junit.jupiter.engine.descriptor.ClassTestDescriptor,6,1,4,0,0,10,5,,25
Public Class,org.junit.jupiter.engine.descriptor.CustomDisplayNameGenerator,3,1,1,0,0,0,3,,14
Public Class,org.junit.jupiter.engine.descriptor.DynamicDescendantFilter,11,1,1,54,1,3,8,,51
Private Class,org.junit.jupiter.engine.descriptor.DynamicDescendantFilter.WithoutIndexFiltering,2,1,2,0,0,1,2,,10
Public Class,org.junit.jupiter.engine.descriptor.ExtensionContextTests,49,1,1,0,0,33,11,,232
Public Class,org.junit.jupiter.engine.descriptor.JupiterEngineDescriptor,5,1,3,40,0,12,5,,32
Public Class,org.junit.jupiter.engine.descriptor.NestedClassTestDescriptor,6,1,4,0,0,10,4,,32
Public Class,org.junit.jupiter.engine.descriptor.TestFactoryTestDescriptor,23,1,5,90,0,27,11,,113
Public Class,org.junit.jupiter.engine.descriptor.TestInstanceLifecycleUtils,2,1,1,0,0,5,2,,11
Public Class,org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor,50,1,4,90,2,34,22,,196
Public Class,org.junit.jupiter.engine.descriptor.TestTemplateInvocationTestDescriptor,6,1,5,50,0,7,5,,33
Public Class,org.junit.jupiter.engine.descriptor.TestTemplateTestDescriptor,17,1,4,90,0,19,10,,79
Public Class,org.junit.jupiter.engine.descriptor.subpackage.Class1WithTestCases,1,1,1,0,0,1,1,,5
Public Class,org.junit.jupiter.engine.descriptor.subpackage.Class2WithTestCases,1,1,1,0,0,1,1,,5
Public Class,org.junit.jupiter.engine.descriptor.subpackage.ClassWithStaticInnerTestCases,0,0,1,0,0,0,0,,13
Public Class,org.junit.jupiter.engine.descriptor.subpackage.ClassWithoutTestCases,0,0,1,0,0,0,0,,2
Public Class,org.junit.jupiter.engine.discovery.DiscoverySelectorResolver,1,1,1,0,0,10,1,,13
Public Class,org.junit.jupiter.engine.discovery.JupiterUniqueIdBuilder,8,1,1,0,0,9,7,,28
Public Class,org.junit.jupiter.engine.discovery.predicates.IsInnerClass,3,3,1,0,0,1,1,,12
Private Class,org.junit.jupiter.engine.discovery.predicates.IsInnerClassTests.InnerClassesTestCase.PrivateInnerClass,0,0,1,0,0,0,0,,2
Public Class,org.junit.jupiter.engine.discovery.predicates.IsNestedTestClass,2,1,1,0,0,2,1,,10
Private Class,org.junit.jupiter.engine.discovery.predicates.IsNestedTestClassTests.NestedClassesTestCase.PrivateInnerClass,0,0,1,0,0,0,0,,2
Public Class,org.junit.jupiter.engine.discovery.predicates.IsPotentialTestContainer,5,5,1,0,0,1,1,,18
Public Class,org.junit.jupiter.engine.discovery.predicates.IsTestClassWithTests,3,1,1,0,0,6,3,,20
Private Class,org.junit.jupiter.engine.discovery.predicates.IsTestClassWithTestsTests.PrivateClassWithNestedTestClass,0,0,1,0,0,1,0,,11
Private Class,org.junit.jupiter.engine.discovery.predicates.IsTestClassWithTestsTests.PrivateClassWithTestFactory,1,1,1,0,0,1,1,,6
Private Class,org.junit.jupiter.engine.discovery.predicates.IsTestClassWithTestsTests.PrivateClassWithTestMethod,1,1,1,0,0,1,1,,5
Private Class,org.junit.jupiter.engine.discovery.predicates.IsTestClassWithTestsTests.PrivateClassWithTestTemplate,1,1,1,0,0,1,1,,5
Public Class,org.junit.jupiter.engine.discovery.predicates.IsTestFactoryMethod,1,1,2,0,0,1,1,,5
Public Class,org.junit.jupiter.engine.discovery.predicates.IsTestMethod,1,1,2,0,0,1,1,,5
Public Class,org.junit.jupiter.engine.discovery.predicates.IsTestTemplateMethod,1,1,2,0,0,1,1,,5
Public Class,org.junit.jupiter.engine.execution.ConditionEvaluator,8,1,1,0,0,9,4,,33
Public Class,org.junit.jupiter.engine.execution.DefaultExecutableInvoker,4,1,1,25,0,5,4,,23
Public Class,org.junit.jupiter.engine.execution.DefaultTestInstances,9,1,1,28,0,1,7,,38
Public Class,org.junit.jupiter.engine.execution.ExtensionValuesStore,25,1,1,77,0,9,12,,159
Public Class,org.junit.jupiter.engine.execution.ExtensionValuesStoreTests,1,1,1,100,0,3,1,,256
Public Class,org.junit.jupiter.engine.execution.InterceptingExecutableInvoker,5,1,1,0,0,10,3,,40
Public Class,org.junit.jupiter.engine.execution.InvocationInterceptorChain,7,1,1,0,0,7,4,,103
Public Class,org.junit.jupiter.engine.execution.JupiterEngineExecutionContext,17,1,1,71,0,10,14,,115
Public Class,org.junit.jupiter.engine.execution.NamespaceAwareStore,8,1,1,0,0,3,8,,48
Public Class,org.junit.jupiter.engine.execution.ParameterResolutionUtils,19,1,1,0,0,12,5,,89
Public Class,org.junit.jupiter.engine.execution.injection.sample.CustomAnnotationParameterResolver,2,1,1,0,0,4,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.CustomType,1,1,1,0,0,0,1,,7
Public Class,org.junit.jupiter.engine.execution.injection.sample.CustomTypeParameterResolver,2,1,1,0,0,3,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.DoubleParameterResolver,2,1,1,0,0,2,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.LongParameterResolver,5,2,1,0,0,2,2,,23
Public Class,org.junit.jupiter.engine.execution.injection.sample.MapOfListsTypeBasedParameterResolver,1,1,2,0,0,2,1,,7
Public Class,org.junit.jupiter.engine.execution.injection.sample.MapOfStringsParameterResolver,4,2,1,0,0,2,2,,20
Public Class,org.junit.jupiter.engine.execution.injection.sample.NullIntegerParameterResolver,2,1,1,0,0,2,2,,11
Public Class,org.junit.jupiter.engine.execution.injection.sample.NumberParameterResolver,2,1,1,0,0,2,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.PrimitiveArrayParameterResolver,2,1,1,0,0,2,2,,10
Public Class,org.junit.jupiter.engine.execution.injection.sample.PrimitiveIntegerParameterResolver,2,1,1,0,0,2,2,,10
Public Class,org.junit.jupiter.engine.extension.MutableExtensionRegistry,23,1,1,85,0,13,16,,97
Public Class,org.junit.jupiter.engine.extension.ServiceLoaderExtension,1,1,1,0,0,1,1,,5
Public Class,org.junit.jupiter.engine.extension.TestInstancePreDestroyCallbackUtilityMethodTests,2,1,2,0,0,12,1,,70
Public Class,org.junit.jupiter.engine.extension.sub.AlwaysDisabledCondition,1,1,1,0,1,2,1,,6
Public Class,org.junit.jupiter.engine.extension.sub.AnotherAlwaysDisabledCondition,0,0,2,0,0,0,0,,2
Public Class,org.junit.jupiter.engine.extension.sub.SystemPropertyCondition,3,3,1,0,0,4,1,,24
Public Class,org.junit.jupiter.engine.subpackage.SuperClassWithPackagePrivateLifecycleMethodInDifferentPackageTestCase,2,1,1,0,3,3,2,,9
Public Class,org.junit.jupiter.engine.support.JupiterThrowableCollectorFactory,1,1,1,0,0,2,1,,5
Public Class,org.junit.jupiter.extensions.Heavyweight,3,1,1,0,0,7,3,,45
Public Class,org.junit.jupiter.jmh.AssertionBenchmarks,11,1,1,0,0,1,7,,30
Public Class,org.junit.jupiter.migrationsupport.conditions.IgnoreCondition,4,1,1,0,0,3,2,,16
Public Class,org.junit.jupiter.migrationsupport.rules.AbstractTestRuleAdapterTests,4,1,1,0,0,7,3,,40
Public Class,org.junit.jupiter.migrationsupport.rules.EnableRuleMigrationSupportWithBothRuleTypesTests,5,1,1,72,0,4,3,,50
Public Class,org.junit.jupiter.migrationsupport.rules.ExpectedExceptionSupport,5,1,1,33,0,5,3,,19
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupport,2,1,1,0,0,3,2,,11
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupportForMixedMethodAndFieldRulesTests,8,1,1,72,1,5,5,,50
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupportForMultipleFieldRulesTests,4,1,1,66,0,4,2,,40
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupportForMultipleMethodRulesTests,6,1,1,75,0,4,4,,44
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupportForTemporaryFolderFieldTests,2,1,1,25,0,2,2,,13
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceSupportWithInheritanceTests,0,0,2,0,0,0,0,,3
Public Class,org.junit.jupiter.migrationsupport.rules.ExternalResourceWithoutAdapterTests,3,1,1,50,0,2,2,,16
Public Class,org.junit.jupiter.migrationsupport.rules.VerifierSupport,1,1,1,0,0,3,1,,7
Public Class,org.junit.jupiter.migrationsupport.rules.VerifierSupportForMixedMethodAndFieldRulesTests,5,1,1,75,0,3,3,,31
Public Class,org.junit.jupiter.migrationsupport.rules.WrongExtendWithForVerifierFieldTests,3,1,1,75,0,3,2,,18
Public Class,org.junit.jupiter.migrationsupport.rules.WrongExtendWithForVerifierMethodTests,4,1,1,66,0,3,3,,21
Public Class,org.junit.jupiter.migrationsupport.rules.adapter.ExpectedExceptionAdapter,4,1,2,0,0,1,3,,15
Public Class,org.junit.jupiter.migrationsupport.rules.adapter.ExternalResourceAdapter,3,1,2,0,0,1,3,,13
Public Class,org.junit.jupiter.migrationsupport.rules.adapter.VerifierAdapter,2,1,2,0,0,1,2,,9
Public Class,org.junit.jupiter.migrationsupport.rules.member.TestRuleAnnotatedField,3,1,2,0,0,2,2,,13
Public Class,org.junit.jupiter.migrationsupport.rules.member.TestRuleAnnotatedMethod,1,1,2,0,0,1,1,,5
Public Class,org.junit.jupiter.params.aggregator.AggregatorIntegrationTests,21,1,1,0,0,30,19,,276
Public Class,org.junit.jupiter.params.aggregator.ArgumentAccessException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.params.aggregator.ArgumentsAggregationException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.params.aggregator.DefaultArgumentsAccessor,18,1,1,66,0,4,15,,77
Public Class,org.junit.jupiter.params.converter.ArgumentConversionException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.params.converter.DefaultArgumentConverter,13,2,2,0,0,8,4,,180
Public Class,org.junit.jupiter.params.provider.CsvParsingException,2,1,3,0,0,0,2,,9
Public Class,org.junit.jupiter.params.support.AnnotationConsumerInitializer,6,1,1,0,0,5,3,,29
Public Class,org.junit.platform.commons.JUnitException,2,1,2,0,12,0,2,,9
Public Class,org.junit.platform.commons.PreconditionViolationException,2,1,4,0,0,0,2,,9
Public Class,org.junit.platform.commons.function.TryTests,25,1,1,0,0,4,5,,74
Public Class,org.junit.platform.commons.logging.LogRecordListener,12,1,1,50,0,1,6,,30
Public Class,org.junit.platform.commons.logging.LoggerFactory,5,1,1,0,0,3,4,,111
Public Class,org.junit.platform.commons.support.AnnotationSupport,19,1,1,0,0,7,16,,92
Public Class,org.junit.platform.commons.support.ClassSupport,3,1,1,0,0,1,3,,10
Public Class,org.junit.platform.commons.support.ModifierSupport,17,1,1,0,0,1,17,,56
Private Class,org.junit.platform.commons.support.ModifierSupportTests.PrivateClass,1,1,1,0,0,0,1,,5
Public Class,org.junit.platform.commons.support.ModifierSupportTests.PublicClass,1,1,1,0,0,0,1,,4
Public Class,org.junit.platform.commons.support.ReflectionSupport,14,1,1,0,0,6,14,,59
Public Class,org.junit.platform.commons.test.ConcurrencyTestingUtils,9,1,1,0,0,0,2,,43
Public Class,org.junit.platform.commons.util.AnnotationUtils,61,1,1,0,0,6,22,,230
Public Class,org.junit.platform.commons.util.BlacklistedExceptions,2,1,1,0,0,1,2,,8
Public Class,org.junit.platform.commons.util.ClassFilter,7,1,1,66,0,1,6,,24
Public Class,org.junit.platform.commons.util.ClassLoaderUtils,11,3,1,0,0,2,3,,45
Public Class,org.junit.platform.commons.util.ClassNamePatternFilterUtils,9,1,1,0,0,1,5,,32
Public Class,org.junit.platform.commons.util.ClassUtils,8,1,1,0,0,1,4,,17
Public Class,org.junit.platform.commons.util.CollectionUtils,23,3,1,0,0,2,6,,81
Public Class,org.junit.platform.commons.util.ExceptionUtils,4,1,1,0,0,1,4,,21
Public Class,org.junit.platform.commons.util.FunctionUtils,3,1,1,0,0,1,2,,9
Public Class,org.junit.platform.commons.util.ModuleUtils,20,1,1,0,0,5,8,,97
Public Class,org.junit.platform.commons.util.ModuleUtils,7,1,1,0,0,4,5,,22
Public Class,org.junit.platform.commons.util.PackageUtils,4,1,1,0,0,1,3,,24
Public Class,org.junit.platform.commons.util.PreconditionViolationException,2,1,3,0,1,0,2,,9
Public Class,org.junit.platform.commons.util.Preconditions,26,1,1,0,0,2,16,,81
Public Class,org.junit.platform.commons.util.ReflectionUtils,199,1,1,100,0,14,97,,859
Private Class,org.junit.platform.commons.util.ReflectionUtilsTests.PrivateClass,1,1,1,0,0,0,1,,5
Public Class,org.junit.platform.commons.util.ReflectionUtilsTests.PublicClass,5,1,1,0,0,0,5,,12
Public Class,org.junit.platform.commons.util.RuntimeUtils,6,1,1,0,0,2,3,,27
Public Class,org.junit.platform.commons.util.SerializationUtils,2,1,1,0,0,0,2,,15
Public Class,org.junit.platform.commons.util.StringUtils,29,2,1,0,0,2,12,,90
Public Class,org.junit.platform.commons.util.ToStringBuilder,7,1,1,66,0,2,6,,26
Public Class,org.junit.platform.commons.util.UnrecoverableExceptions,3,1,1,0,0,1,2,,9
Public Class,org.junit.platform.commons.util.classes.AExecutionConditionClass,1,1,1,0,0,2,1,,6
Public Class,org.junit.platform.commons.util.classes.ATestExecutionListenerClass,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.commons.util.classes.AVanillaEmpty,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.commons.util.classes.BExecutionConditionClass,1,1,1,0,0,2,1,,6
Public Class,org.junit.platform.commons.util.classes.BTestExecutionListenerClass,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.commons.util.classes.BVanillaEmpty,0,0,1,0,0,0,0,,2
Public Class,org.junit.platform.console.ConsoleLauncher,15,1,1,70,0,9,9,,82
Public Class,org.junit.platform.console.ConsoleLauncherExecutionResult,9,1,1,71,0,2,7,,34
Public Class,org.junit.platform.console.ConsoleLauncherToolProvider,2,1,1,0,0,2,2,,10
Public Class,org.junit.platform.console.options.CommandLineOptions,66,1,1,96,0,4,66,,245
Public Class,org.junit.platform.console.options.ConsoleUtils,1,1,1,0,0,0,1,,5
Public Class,org.junit.platform.console.options.ConsoleUtils,2,1,1,0,0,0,1,,6
Public Class,org.junit.platform.console.options.PicocliCommandLineOptionsParser,6,1,1,0,0,3,3,,30
Public Class,org.junit.platform.console.tasks.ConsoleTestExecutor,24,1,1,59,0,17,11,,87
Public Class,org.junit.platform.engine.ExecutionRequest,5,1,1,60,0,3,5,,26
Public Class,org.junit.platform.engine.FilterResult,12,1,1,66,0,1,9,,37
Public Class,org.junit.platform.engine.SelectorResolutionResult,7,1,1,57,0,2,7,,38
Public Class,org.junit.platform.engine.TestExecutionResult,7,1,1,57,0,3,7,,36
Public Class,org.junit.platform.engine.TestTag,11,1,1,37,0,3,8,,46
Public Class,org.junit.platform.engine.UniqueId,26,1,1,79,0,4,18,,144
Public Class,org.junit.platform.engine.discovery.ClassSelector,11,1,1,35,0,4,7,,43
Public Class,org.junit.platform.engine.discovery.ClasspathResourceSelector,9,1,1,16,0,2,6,,38
Public Class,org.junit.platform.engine.discovery.ClasspathRootSelector,7,1,1,0,0,1,5,,30
Public Class,org.junit.platform.engine.discovery.DirectorySelector,9,1,1,0,0,1,7,,36
Public Class,org.junit.platform.engine.discovery.DiscoverySelectors,38,1,1,0,0,20,33,,196
Public Class,org.junit.platform.engine.discovery.FilePosition,22,1,1,44,0,5,10,,82
Public Class,org.junit.platform.engine.discovery.FileSelector,10,1,1,25,0,2,8,,41
Public Class,org.junit.platform.engine.discovery.IterationSelector,9,1,1,28,0,1,7,,41
Public Class,org.junit.platform.engine.discovery.MethodSelector,23,1,1,57,0,6,15,,99
Public Class,org.junit.platform.engine.discovery.ModuleSelector,7,1,1,0,0,1,5,,30
Public Class,org.junit.platform.engine.discovery.NestedClassSelector,11,1,1,33,0,2,9,,47
Public Class,org.junit.platform.engine.discovery.NestedMethodSelector,17,1,1,30,0,3,15,,71
Public Class,org.junit.platform.engine.discovery.PackageSelector,7,1,1,0,0,1,5,,30
Public Class,org.junit.platform.engine.discovery.UniqueIdSelector,7,1,1,0,0,2,5,,30
Public Class,org.junit.platform.engine.discovery.UriSelector,7,1,1,0,0,1,5,,30
Public Class,org.junit.platform.engine.reporting.ReportEntry,7,1,1,64,0,2,7,,37
